County,STATE,fips,Census,Estimates Base
Roanoke, Virginia,51161,92376,92465
Rockbridge, Virginia,51163,22307,22355
Rockingham, Virginia,51165,76314,76321
Russell, Virginia,51167,28897,28923
Scott, Virginia,51169,23177,23168
Shenandoah, Virginia,51171,41993,41996
Smyth, Virginia,51173,32208,32213
Southampton, Virginia,51175,18570,18573
Spotsylvania, Virginia,51177,122397,122453
Stafford, Virginia,51179,128961,128984
Surry, Virginia,51181,7058,7064
Sussex, Virginia,51183,12087,12070
Tazewell, Virginia,51185,45078,45058
Warren, Virginia,51187,37575,37450
Washington, Virginia,51191,54876,54961
Westmoreland, Virginia,51193,17454,17460
Wise, Virginia,51195,41452,41437
Wythe, Virginia,51197,29235,29246
York, Virginia,51199,65464,65191
Alexandria city, Virginia,51510,139966,139998
Bristol city, Virginia,51520,17835,17738
Buena Vista city, Virginia,51530,6650,6607
Charlottesville city, Virginia,51540,43475,43425
Chesapeake city, Virginia,51550,222209,222311
Colonial Heights city, Virginia,51570,17411,17410
Covington city, Virginia,51580,5961,5951
Danville city, Virginia,51590,43055,43071
Emporia city, Virginia,51595,5927,5925
Fairfax city, Virginia,51600,22565,22554
Falls Church city, Virginia,51610,12332,12244
Franklin city, Virginia,51620,8582,8578
Fredericksburg city, Virginia,51630,24286,24178
Galax city, Virginia,51640,7042,6989
Hampton city, Virginia,51650,137436,137464
Harrisonburg city, Virginia,51660,48914,48900
Hopewell city, Virginia,51670,22591,22591
Lexington city, Virginia,51678,7042,7037
Lynchburg city, Virginia,51680,75568,75534
Manassas city, Virginia,51683,37821,37799
Manassas Park city, Virginia,51685,14273,14243
Martinsville city, Virginia,51690,13821,13814
Newport News city, Virginia,51700,180719,180955
Norfolk city, Virginia,51710,242803,242827
Norton city, Virginia,51720,3958,3993
Petersburg city, Virginia,51730,32420,32441
Poquoson city, Virginia,51735,12150,12159
Portsmouth city, Virginia,51740,95535,95526
Radford city, Virginia,51750,16408,16395
Richmond city, Virginia,51760,204214,204375
Roanoke city, Virginia,51770,97032,96910
Salem city, Virginia,51775,24802,24836
Staunton city, Virginia,51790,23746,23745
Suffolk city, Virginia,51800,84585,84565
Virginia Beach city, Virginia,51810,437994,437903
Waynesboro city, Virginia,51820,21006,20998
Williamsburg city, Virginia,51830,14068,13700
Winchester city, Virginia,51840,26203,26223
Adams, Washington,53001,18728,18731
Asotin, Washington,53003,21623,21623
Benton, Washington,53005,175177,175168
Chelan, Washington,53007,72453,72460
Clallam, Washington,53009,71404,71396
Clark, Washington,53011,425363,425360
Columbia, Washington,53013,4078,4078
Cowlitz, Washington,53015,102410,102408
Douglas, Washington,53017,38431,38427
Ferry, Washington,53019,7551,7554
Franklin, Washington,53021,78163,78160
Garfield, Washington,53023,2266,2266
Grant, Washington,53025,89120,89124
Grays Harbor, Washington,53027,72797,72800
Island, Washington,53029,78506,78508
Jefferson, Washington,53031,29872,29880
King, Washington,53033,1931249,1931287
Kitsap, Washington,53035,251133,251143
Kittitas, Washington,53037,40915,40910
Klickitat, Washington,53039,20318,20317
Lewis, Washington,53041,75455,75457
Lincoln, Washington,53043,10570,10570
Mason, Washington,53045,60699,60689
Okanogan, Washington,53047,41120,41117
Pacific, Washington,53049,20920,20919
Pend Oreille, Washington,53051,13001,13001
Pierce, Washington,53053,795225,795222
San Juan, Washington,53055,15769,15768
Skagit, Washington,53057,116901,116892
Skamania, Washington,53059,11066,11070
Snohomish, Washington,53061,713335,713299
Spokane, Washington,53063,471221,471220
Stevens, Washington,53065,43531,43532
Thurston, Washington,53067,252264,252260
Wahkiakum, Washington,53069,3978,3979
Walla Walla, Washington,53071,58781,58781
Whatcom, Washington,53073,201140,201146
Whitman, Washington,53075,44776,44778
Yakima, Washington,53077,243231,243240
Barbour, West Virginia,54001,16589,16587
Berkeley, West Virginia,54003,104169,104188
Boone, West Virginia,54005,24629,24625
Braxton, West Virginia,54007,14523,14519
Brooke, West Virginia,54009,24069,24051
Cabell, West Virginia,54011,96319,96295
Calhoun, West Virginia,54013,7627,7627
Clay, West Virginia,54015,9386,9384
Doddridge, West Virginia,54017,8202,8201
Fayette, West Virginia,54019,46039,46049
Gilmer, West Virginia,54021,8693,8695
Grant, West Virginia,54023,11937,11920
Greenbrier, West Virginia,54025,35480,35483
Hampshire, West Virginia,54027,23964,23960
Hancock, West Virginia,54029,30676,30688
Hardy, West Virginia,54031,14025,14027
Harrison, West Virginia,54033,69099,69094
Jackson, West Virginia,54035,29211,29214
Jefferson, West Virginia,54037,53498,53490
Kanawha, West Virginia,54039,193063,193053
Lewis, West Virginia,54041,16372,16372
Lincoln, West Virginia,54043,21720,21709
Logan, West Virginia,54045,36743,36754
McDowell, West Virginia,54047,22113,22109
Marion, West Virginia,54049,56418,56433
Marshall, West Virginia,54051,33107,33131
Mason, West Virginia,54053,27324,27348
Mercer, West Virginia,54055,62264,62265
Mineral, West Virginia,54057,28212,28225
Mingo, West Virginia,54059,26839,26834
Monongalia, West Virginia,54061,96189,96184
Monroe, West Virginia,54063,13502,13498
Morgan, West Virginia,54065,17541,17541
Nicholas, West Virginia,54067,26233,26233
Ohio, West Virginia,54069,44443,44426
Pendleton, West Virginia,54071,7695,7695
Pleasants, West Virginia,54073,7605,7602
Pocahontas, West Virginia,54075,8719,8722
Preston, West Virginia,54077,33520,33518
Putnam, West Virginia,54079,55486,55489
Raleigh, West Virginia,54081,78859,78865
Randolph, West Virginia,54083,29405,29405
Ritchie, West Virginia,54085,10449,10449
Roane, West Virginia,54087,14926,14927
Summers, West Virginia,54089,13927,13926
Taylor, West Virginia,54091,16895,16891
Tucker, West Virginia,54093,7141,7141
Tyler, West Virginia,54095,9208,9230
Upshur, West Virginia,54097,24254,24256
Wayne, West Virginia,54099,42481,42506
Webster, West Virginia,54101,9154,9150
Wetzel, West Virginia,54103,16583,16563
Wirt, West Virginia,54105,5717,5714
Wood, West Virginia,54107,86956,86953
Wyoming, West Virginia,54109,23796,23804
Adams, Wisconsin,55001,20875,20867
Ashland, Wisconsin,55003,16157,16157
Barron, Wisconsin,55005,45870,45873
Bayfield, Wisconsin,55007,15014,15008
Brown, Wisconsin,55009,248007,248003
Buffalo, Wisconsin,55011,13587,13588
Burnett, Wisconsin,55013,15457,15458
Calumet, Wisconsin,55015,48971,48981
Chippewa, Wisconsin,55017,62415,62502
Clark, Wisconsin,55019,34690,34691
Columbia, Wisconsin,55021,56833,56859
Crawford, Wisconsin,55023,16644,16644
Dane, Wisconsin,55025,488073,488081
Dodge, Wisconsin,55027,88759,88750
Door, Wisconsin,55029,27785,27785
Douglas, Wisconsin,55031,44159,44159
Dunn, Wisconsin,55033,43857,43865
Eau Claire, Wisconsin,55035,98736,98881
Florence, Wisconsin,55037,4423,4423
Fond du Lac, Wisconsin,55039,101633,101623
Forest, Wisconsin,55041,9304,9304
Grant, Wisconsin,55043,51208,51204
Green, Wisconsin,55045,36842,36839
Green Lake, Wisconsin,55047,19051,19044
Iowa, Wisconsin,55049,23687,23687
Iron, Wisconsin,55051,5916,5916
Jackson, Wisconsin,55053,20449,20441
Jefferson, Wisconsin,55055,83686,83688
Juneau, Wisconsin,55057,26664,26665
Kenosha, Wisconsin,55059,166426,166424
Kewaunee, Wisconsin,55061,20574,20578
La Crosse, Wisconsin,55063,114638,114638
Lafayette, Wisconsin,55065,16836,16833
Langlade, Wisconsin,55067,19977,19977
Lincoln, Wisconsin,55069,28743,28743
Manitowoc, Wisconsin,55071,81442,81444
Marathon, Wisconsin,55073,134063,134061
Marinette, Wisconsin,55075,41749,41749
Marquette, Wisconsin,55077,15404,15399
Menominee, Wisconsin,55078,4232,4232
Milwaukee, Wisconsin,55079,947735,947728
Monroe, Wisconsin,55081,44673,44677
Oconto, Wisconsin,55083,37660,37660
Oneida, Wisconsin,55085,35998,36012
Outagamie, Wisconsin,55087,176695,176686
Ozaukee, Wisconsin,55089,86395,86395
Pepin, Wisconsin,55091,7469,7469
Pierce, Wisconsin,55093,41019,41029
Polk, Wisconsin,55095,44205,44198
Portage, Wisconsin,55097,70019,70021
Price, Wisconsin,55099,14159,14159
Racine, Wisconsin,55101,195408,195428
Richland, Wisconsin,55103,18021,18028
Rock, Wisconsin,55105,160331,160325
Rusk, Wisconsin,55107,14755,14754
St. Croix, Wisconsin,55109,84345,84337
Sauk, Wisconsin,55111,61976,61955
Sawyer, Wisconsin,55113,16557,16538
Shawano, Wisconsin,55115,41949,41955
Sheboygan, Wisconsin,55117,115507,115512
Taylor, Wisconsin,55119,20689,20690
Trempealeau, Wisconsin,55121,28816,28815
Vernon, Wisconsin,55123,29773,29769
Vilas, Wisconsin,55125,21430,21444
Walworth, Wisconsin,55127,102228,102230
Washburn, Wisconsin,55129,15911,15907
Washington, Wisconsin,55131,131887,131885
Waukesha, Wisconsin,55133,389891,389946
Waupaca, Wisconsin,55135,52410,52410
Waushara, Wisconsin,55137,24496,24509
Winnebago, Wisconsin,55139,166994,167000
Wood, Wisconsin,55141,74749,74750
Albany, Wyoming,56001,36299,36299
Big Horn, Wyoming,56003,11668,11669
Campbell, Wyoming,56005,46133,46133
Carbon, Wyoming,56007,15885,15884
Converse, Wyoming,56009,13833,13833
Crook, Wyoming,56011,7083,7080
Fremont, Wyoming,56013,40123,40123
Goshen, Wyoming,56015,13249,13247
Hot Springs, Wyoming,56017,4812,4812
Johnson, Wyoming,56019,8569,8569
Laramie, Wyoming,56021,91738,91885
Lincoln, Wyoming,56023,18106,18106
Natrona, Wyoming,56025,75450,75448
Niobrara, Wyoming,56027,2484,2484
Park, Wyoming,56029,28205,28207
Platte, Wyoming,56031,8667,8667
Sheridan, Wyoming,56033,29116,29124
Sublette, Wyoming,56035,10247,10244
Sweetwater, Wyoming,56037,43806,43806
Teton, Wyoming,56039,21294,21298
Uinta, Wyoming,56041,21118,21121
Washakie, Wyoming,56043,8533,8528
Weston, Wyoming,56045,7208,7208
